"id";"latitude";"longitude";"depth";"yearcollected";"tname"
373944600;36.72;-4.29;;1988;"Cystoseira tamariscifolia"
373944607;36.54;-4.62;;1988;"Cystoseira tamariscifolia"
373944612;36.73;-3.73;;1988;"Cystoseira tamariscifolia"
373944662;36.73;-3.73;;1989;"Cystoseira tamariscifolia"
373944691;36.44;-5.18;;1988;"Cystoseira tamariscifolia"
373944707;36.54;-4.62;;1988;"Cystoseira tamariscifolia"
373944712;36.73;-2.61;;1988;"Cystoseira tamariscifolia"
373944731;43.40;-2.57;;1994;"Cystoseira tamariscifolia"
373944738;43.39;-4.30;;1990;"Cystoseira tamariscifolia"
373944763;43.40;-2.57;;1994;"Cystoseira tamariscifolia"
373944816;36.54;-4.62;;1988;"Cystoseira tamariscifolia"
373944817;37.09;-8.49;;1980;"Cystoseira tamariscifolia"
373944820;35.92;-3.06;;1989;"Cystoseira tamariscifolia"
373944844;36.07;-5.83;;1996;"Cystoseira tamariscifolia"
373944859;42.23;-8.82;;1955;"Cystoseira tamariscifolia"
373944953;36.44;-5.18;;1988;"Cystoseira tamariscifolia"
373944959;43.39;-1.83;;1993;"Cystoseira tamariscifolia"
373944994;37.63;-8.83;;1995;"Cystoseira tamariscifolia"
373944995;43.39;-4.42;;1995;"Cystoseira tamariscifolia"
373945010;38.44;-9.06;;1995;"Cystoseira tamariscifolia"
373945019;36.73;-3.28;;1993;"Cystoseira tamariscifolia"
373945020;42.14;-8.82;;;"Cystoseira tamariscifolia"
373945028;43.39;-1.83;;1989;"Cystoseira tamariscifolia"
373945038;37.18;-8.94;;1995;"Cystoseira tamariscifolia"
373945061;43.39;-1.83;;;"Cystoseira tamariscifolia"
373945074;43.75;-7.70;;1961;"Cystoseira tamariscifolia"
373945075;36.43;-6.16;;1995;"Cystoseira tamariscifolia"
373945076;36.72;-4.29;;1988;"Cystoseira tamariscifolia"
373945077;36.73;-2.16;;1988;"Cystoseira tamariscifolia"
373945127;36.73;-2.16;;1988;"Cystoseira tamariscifolia"
373945319;36.35;-5.17;;1997;"Cystoseira tamariscifolia"
373945324;41.78;-8.82;;1989;"Cystoseira tamariscifolia"
373945336;37.81;-8.83;;1995;"Cystoseira tamariscifolia"
373945344;36.72;-4.29;;1988;"Cystoseira tamariscifolia"
373945353;43.31;-2.20;;;"Cystoseira tamariscifolia"
373945380;43.31;-2.32;;;"Cystoseira tamariscifolia"
373945394;37.09;-8.27;;1995;"Cystoseira tamariscifolia"
373945395;43.40;-3.19;;1994;"Cystoseira tamariscifolia"
373945398;43.39;-4.42;;1994;"Cystoseira tamariscifolia"
373945406;43.48;-3.93;;1994;"Cystoseira tamariscifolia"
373945454;36.72;-4.29;;1988;"Cystoseira tamariscifolia"
373945650;43.39;-1.83;;1989;"Cystoseira tamariscifolia"
374476439;55.67;-6.13;;1979;"Cystoseira tamariscifolia"
374491323;56.30;-6.20;;1983;"Cystoseira tamariscifolia"
374491341;56.39;-6.21;;1983;"Cystoseira tamariscifolia"
374497126;49.90;-6.45;;1983;"Cystoseira tamariscifolia"
374512697;50.32;-4.52;;1996;"Cystoseira tamariscifolia"
374515413;50.03;-5.07;;1994;"Cystoseira tamariscifolia"
374527631;50.24;-3.96;;1995;"Cystoseira tamariscifolia"
374532345;50.49;-4.96;;1988;"Cystoseira tamariscifolia"
374551374;50.03;-5.21;;1986;"Cystoseira tamariscifolia"
374551496;50.03;-5.21;;1986;"Cystoseira tamariscifolia"
374552255;49.90;-6.45;;1983;"Cystoseira tamariscifolia"
374564346;50.03;-5.21;;1994;"Cystoseira tamariscifolia"
374571751;50.15;-3.82;;1993;"Cystoseira tamariscifolia"
374614336;50.49;-4.96;;1988;"Cystoseira tamariscifolia"
