"id";"latitude";"longitude";"depth";"yearcollected";"tname"
365217262;41.68;-8.83;;2008;"Saccorhiza polyschides"
365217274;41.29;-8.73;;2006;"Saccorhiza polyschides"
365217300;41.29;-8.73;;2006;"Saccorhiza polyschides"
365217320;41.29;-8.73;;2006;"Saccorhiza polyschides"
365217344;41.29;-8.73;;2006;"Saccorhiza polyschides"
365217414;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217429;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217444;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217463;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217585;41.29;-8.73;;2007;"Saccorhiza polyschides"
365217619;41.74;-8.87;;2006;"Saccorhiza polyschides"
365217632;41.74;-8.87;;2006;"Saccorhiza polyschides"
365217662;41.74;-8.87;;2006;"Saccorhiza polyschides"
365217681;41.19;-8.71;;2007;"Saccorhiza polyschides"
365217716;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217735;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217759;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217914;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217932;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217948;41.68;-8.83;;2006;"Saccorhiza polyschides"
365217972;41.05;-8.65;;2006;"Saccorhiza polyschides"
365217987;41.05;-8.65;;2006;"Saccorhiza polyschides"
365218020;41.29;-8.73;;2006;"Saccorhiza polyschides"
365218039;41.29;-8.73;;2006;"Saccorhiza polyschides"
365218065;41.19;-8.71;;2008;"Saccorhiza polyschides"
365218082;41.19;-8.71;;2008;"Saccorhiza polyschides"
365218097;41.19;-8.71;;2008;"Saccorhiza polyschides"
365218159;41.29;-8.73;;2007;"Saccorhiza polyschides"
365218227;41.29;-8.73;;2008;"Saccorhiza polyschides"
365218242;41.29;-8.73;;2008;"Saccorhiza polyschides"
365218254;41.29;-8.73;;2008;"Saccorhiza polyschides"
365218377;41.68;-8.83;;2006;"Saccorhiza polyschides"
365218391;41.68;-8.83;;2006;"Saccorhiza polyschides"
365218406;41.68;-8.83;;2006;"Saccorhiza polyschides"
365218425;41.29;-8.73;;2007;"Saccorhiza polyschides"
365218436;41.29;-8.73;;2007;"Saccorhiza polyschides"
365218451;41.29;-8.73;;2007;"Saccorhiza polyschides"
365218467;41.29;-8.73;;2007;"Saccorhiza polyschides"
365218621;41.68;-8.83;;2008;"Saccorhiza polyschides"
365218640;41.68;-8.83;;2006;"Saccorhiza polyschides"
365218652;41.68;-8.83;;2006;"Saccorhiza polyschides"
365218744;41.74;-8.87;;2006;"Saccorhiza polyschides"
365218767;41.05;-8.65;;2008;"Saccorhiza polyschides"
365218794;41.05;-8.65;;2008;"Saccorhiza polyschides"
365218826;41.19;-8.71;;2008;"Saccorhiza polyschides"
365231869;57.02;-7.33;;2011;"derived from benthic surveys 1993 to 2012"""
365232833;59.22;-2.50;;2008;"derived from benthic surveys 1993 to 2012"""
365233138;57.72;-7.12;;2005;"derived from benthic surveys 1993 to 2012"""
365233149;56.65;-5.95;;1995;"derived from benthic surveys 1993 to 2012"""
365233244;56.24;-5.75;;2005;"derived from benthic surveys 1993 to 2012"""
365234762;56.52;-6.37;;2007;"derived from benthic surveys 1993 to 2012"""
365235367;56.84;-5.74;;1996;"derived from benthic surveys 1993 to 2012"""
365235442;56.82;-5.87;;;"derived from benthic surveys 1993 to 2012"""
365235780;56.49;-6.42;;2007;"derived from benthic surveys 1993 to 2012"""
365236007;57.05;-6.48;;2010;"derived from benthic surveys 1993 to 2012"""
365237109;58.87;-3.15;;1995;"derived from benthic surveys 1993 to 2012"""
365237691;58.40;-5.09;;2001;"derived from benthic surveys 1993 to 2012"""
365238141;56.85;-5.75;;;"derived from benthic surveys 1993 to 2012"""
365239482;60.00;-1.17;;2008;"derived from benthic surveys 1993 to 2012"""
365240532;59.15;-2.96;;1993;"derived from benthic surveys 1993 to 2012"""
365240617;56.75;-5.91;;1998;"derived from benthic surveys 1993 to 2012"""
365240654;60.33;-1.65;;2003;"derived from benthic surveys 1993 to 2012"""
365240785;57.69;-7.09;;2005;"derived from benthic surveys 1993 to 2012"""
365242630;57.71;-7.09;;;"derived from benthic surveys 1993 to 2012"""
365243776;57.69;-7.12;;2005;"derived from benthic surveys 1993 to 2012"""
365245727;56.84;-5.72;;;"derived from benthic surveys 1993 to 2012"""
365246764;57.06;-7.43;;2006;"derived from benthic surveys 1993 to 2012"""
365247309;57.09;-7.35;;2001;"derived from benthic surveys 1993 to 2012"""
365247419;60.00;-1.17;;2008;"derived from benthic surveys 1993 to 2012"""
365247852;57.05;-6.47;;2010;"derived from benthic surveys 1993 to 2012"""
365252273;56.19;-5.67;;2005;"derived from benthic surveys 1993 to 2012"""
365252289;56.68;-5.99;;1995;"derived from benthic surveys 1993 to 2012"""
365252555;57.05;-6.47;;1993;"derived from benthic surveys 1993 to 2012"""
365254114;59.28;-2.39;;2008;"derived from benthic surveys 1993 to 2012"""
365254708;60.32;-1.65;;1996;"derived from benthic surveys 1993 to 2012"""
365255280;57.09;-7.39;;2006;"derived from benthic surveys 1993 to 2012"""
365256016;57.04;-6.39;;2010;"derived from benthic surveys 1993 to 2012"""
365256151;56.85;-5.76;;;"derived from benthic surveys 1993 to 2012"""
365256419;56.76;-5.92;;1998;"derived from benthic surveys 1993 to 2012"""
365256826;56.49;-6.42;;2007;"derived from benthic surveys 1993 to 2012"""
365257541;57.67;-7.12;;2005;"derived from benthic surveys 1993 to 2012"""
365258130;57.06;-6.48;;2010;"derived from benthic surveys 1993 to 2012"""
365258289;56.49;-6.42;;2007;"derived from benthic surveys 1993 to 2012"""
365258301;58.40;-5.10;;2009;"derived from benthic surveys 1993 to 2012"""
365259021;56.66;-5.94;;1995;"derived from benthic surveys 1993 to 2012"""
365260326;56.75;-5.91;;1998;"derived from benthic surveys 1993 to 2012"""
365261648;60.31;-1.69;;2003;"derived from benthic surveys 1993 to 2012"""
365262002;57.61;-7.13;;1998;"derived from benthic surveys 1993 to 2012"""
365262335;56.85;-5.76;;;"derived from benthic surveys 1993 to 2012"""
365263745;60.01;-1.18;;2008;"derived from benthic surveys 1993 to 2012"""
365264065;57.04;-7.34;;2006;"derived from benthic surveys 1993 to 2012"""
365264762;57.82;-8.63;;1997;"derived from benthic surveys 1993 to 2012"""
365265250;57.77;-7.07;;2005;"derived from benthic surveys 1993 to 2012"""
365266990;59.29;-2.59;;2008;"derived from benthic surveys 1993 to 2012"""
365267023;57.59;-7.09;;;"derived from benthic surveys 1993 to 2012"""
365267956;56.85;-5.74;;;"derived from benthic surveys 1993 to 2012"""
365268218;57.02;-6.43;;2010;"derived from benthic surveys 1993 to 2012"""
365268609;59.31;-2.44;;2008;"derived from benthic surveys 1993 to 2012"""
365269496;56.83;-5.86;;;"derived from benthic surveys 1993 to 2012"""
365270580;56.67;-5.94;;1995;"derived from benthic surveys 1993 to 2012"""
365270993;58.92;-3.25;;1995;"derived from benthic surveys 1993 to 2012"""
365271070;57.01;-7.35;;2001;"derived from benthic surveys 1993 to 2012"""
365271252;57.61;-7.11;;1998;"derived from benthic surveys 1993 to 2012"""
365271512;56.85;-5.76;;;"derived from benthic surveys 1993 to 2012"""
365272265;60.31;-1.64;;2003;"derived from benthic surveys 1993 to 2012"""
365272283;56.99;-7.35;;2001;"derived from benthic surveys 1993 to 2012"""
365273232;56.75;-5.91;;1998;"derived from benthic surveys 1993 to 2012"""
365274028;56.51;-6.39;;2007;"derived from benthic surveys 1993 to 2012"""
365274235;57.04;-6.46;;2010;"derived from benthic surveys 1993 to 2012"""
365274744;57.06;-7.40;;2006;"derived from benthic surveys 1993 to 2012"""
365275107;57.60;-7.09;;;"derived from benthic surveys 1993 to 2012"""
365275175;59.27;-2.60;;1999;"derived from benthic surveys 1993 to 2012"""
365275645;60.33;-1.65;;2003;"derived from benthic surveys 1993 to 2012"""
365275930;57.71;-7.07;;2005;"derived from benthic surveys 1993 to 2012"""
365276348;56.18;-2.55;;2007;"derived from benthic surveys 1993 to 2012"""
365276792;60.00;-1.18;;2008;"derived from benthic surveys 1993 to 2012"""
365276816;57.05;-7.34;;2006;"derived from benthic surveys 1993 to 2012"""
365277523;56.68;-5.98;;1995;"derived from benthic surveys 1993 to 2012"""
365278457;56.79;-5.89;;;"derived from benthic surveys 1993 to 2012"""
365279008;57.07;-6.48;;2010;"derived from benthic surveys 1993 to 2012"""
365279454;59.29;-2.61;;2008;"derived from benthic surveys 1993 to 2012"""
365280487;57.04;-6.51;;2010;"derived from benthic surveys 1993 to 2012"""
365280577;56.85;-5.76;;;"derived from benthic surveys 1993 to 2012"""
365280966;57.71;-7.04;;2005;"derived from benthic surveys 1993 to 2012"""
365281153;57.59;-7.11;;1998;"derived from benthic surveys 1993 to 2012"""
365281829;60.33;-1.74;;1996;"derived from benthic surveys 1993 to 2012"""
365283144;56.68;-5.70;;2006;"derived from benthic surveys 1993 to 2012"""
365283265;57.01;-6.44;;2010;"derived from benthic surveys 1993 to 2012"""
365286421;58.40;-5.09;;2001;"derived from benthic surveys 1993 to 2012"""
365286693;60.31;-1.70;;1996;"derived from benthic surveys 1993 to 2012"""
365287465;57.05;-6.48;;2010;"derived from benthic surveys 1993 to 2012"""
365288451;58.89;-2.72;;2010;"derived from benthic surveys 1993 to 2012"""
365288498;57.10;-7.38;;2001;"derived from benthic surveys 1993 to 2012"""
365288750;56.83;-5.84;;;"derived from benthic surveys 1993 to 2012"""
365288907;56.66;-5.93;;1995;"derived from benthic surveys 1993 to 2012"""
365289025;56.84;-5.73;;;"derived from benthic surveys 1993 to 2012"""
365289429;56.52;-6.37;;2007;"derived from benthic surveys 1993 to 2012"""
365289563;57.71;-7.05;;2005;"derived from benthic surveys 1993 to 2012"""
365290472;56.75;-5.91;;1998;"derived from benthic surveys 1993 to 2012"""
365290656;60.01;-1.18;;2008;"derived from benthic surveys 1993 to 2012"""
365293110;57.62;-7.17;;;"derived from benthic surveys 1993 to 2012"""
365300405;60.00;-1.18;;2008;"derived from benthic surveys 1993 to 2012"""
365300876;60.33;-1.65;;2003;"derived from benthic surveys 1993 to 2012"""
365300977;56.18;-2.55;;2007;"derived from benthic surveys 1993 to 2012"""
365301225;57.67;-7.12;;2005;"derived from benthic surveys 1993 to 2012"""
365304180;60.00;-1.18;;2008;"derived from benthic surveys 1993 to 2012"""
365304466;56.77;-5.89;;1998;"derived from benthic surveys 1993 to 2012"""
365304647;57.62;-7.14;;;"derived from benthic surveys 1993 to 2012"""
365304885;57.04;-6.51;;2010;"derived from benthic surveys 1993 to 2012"""
365304949;60.01;-1.18;;2008;"derived from benthic surveys 1993 to 2012"""
365305090;57.03;-6.40;;2010;"derived from benthic surveys 1993 to 2012"""
365306826;56.85;-5.75;;;"derived from benthic surveys 1993 to 2012"""
365307566;57.71;-7.08;;2005;"derived from benthic surveys 1993 to 2012"""
